Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-UT CR-PMX PR-50;5;9 6 11 15 14 3 17 26 28 10 23 27 29 22 19 13 12 20 30 24 2 8 21 16 25 4 1 18 7 5 ;2.12082e+06;18 7 16 4 23 24 13 2 14 30 1 10 29 11 8 28 27 17 5 22 15 19 25 9 6 3 21 20 26 12 ;1.95304e+06;30
SL-UT-C CR-OX PR-16;1;4 21 28 22 12 26 3 15 10 25 30 27 20 1 2 18 17 5 6 11 23 7 16 9 24 14 13 8 19 29 ;2.1146e+06;24 6 13 22 4 1 30 23 2 10 11 26 21 29 9 28 27 8 20 17 7 14 3 18 5 16 12 15 19 25 ;2.04351e+06;55
SL-UT-C CR-OX PR-16;2;15 5 30 18 21 7 17 20 11 27 23 16 28 1 2 3 25 8 24 19 14 22 26 13 12 9 10 29 4 6 ;2.11334e+06;11 6 3 26 21 24 17 25 4 1 12 14 27 8 20 22 18 15 5 28 19 2 29 30 23 16 13 7 10 9 ;2.03977e+06;95
SL-UT-C CR-OX PR-16;3;9 12 18 1 23 16 29 4 5 19 10 14 7 20 26 6 15 13 30 28 3 2 21 22 27 11 24 8 17 25 ;2.12796e+06;6 12 27 4 15 19 11 17 26 9 13 14 28 24 30 29 16 21 8 3 1 23 2 20 22 10 18 25 7 5 ;2.03926e+06;40
SL-UT-C CR-OX PR-16;4;8 1 26 23 4 5 13 19 22 17 30 15 29 11 10 7 28 3 14 12 6 27 25 18 20 9 21 24 2 16 ;2.13596e+06;18 29 3 16 7 13 12 22 27 4 19 23 20 10 8 11 21 6 14 26 15 28 25 30 17 9 5 1 24 2 ;2.02514e+06;62
SL-UT-C CR-OX PR-16;5;2 30 11 18 16 15 8 17 4 19 14 1 9 13 29 25 26 28 22 23 5 20 6 10 12 21 7 3 24 27 ;2.12498e+06;18 19 24 25 3 22 8 9 5 20 10 12 23 29 11 30 21 26 15 1 6 16 14 7 17 27 2 13 4 28 ;2.06356e+06;130
SL-UT-C CR-OX PR-25;1;10 28 9 6 22 3 23 15 19 30 27 13 20 5 14 2 21 25 11 8 16 18 1 29 4 26 17 12 7 24 ;2.1398e+06;3 28 13 17 22 30 15 19 20 24 23 7 9 5 14 2 21 25 11 8 16 18 1 29 4 26 10 12 6 27 ;2.0735e+06;30
SL-UT-C CR-OX PR-25;2;30 8 9 26 3 14 1 22 12 13 18 15 2 19 28 23 6 11 21 27 29 5 25 4 7 10 24 16 20 17 ;2.12193e+06;4 1 12 25 7 26 19 23 30 17 20 6 22 24 16 13 3 27 11 9 14 15 5 18 10 2 8 21 28 29 ;1.99604e+06;58
SL-UT-C CR-OX PR-25;3;27 29 28 16 5 19 24 11 18 2 10 3 15 13 22 17 8 20 25 7 1 14 12 6 9 30 26 4 23 21 ;2.14045e+06;12 9 1 17 15 5 4 18 24 14 28 29 3 23 26 2 10 8 20 30 25 27 7 22 21 6 11 16 13 19 ;2.04849e+06;46
SL-UT-C CR-OX PR-25;4;15 29 6 9 16 5 10 27 21 13 2 4 26 7 1 14 25 12 20 18 22 17 8 19 24 3 28 23 30 11 ;2.14124e+06;18 17 14 30 21 2 4 3 16 28 24 22 9 27 6 1 12 29 26 11 8 10 23 5 7 13 25 20 19 15 ;2.05235e+06;24
SL-UT-C CR-OX PR-25;5;21 5 26 9 6 22 27 19 8 11 20 15 29 25 18 12 3 16 7 23 13 1 17 10 28 4 30 14 24 2 ;2.12879e+06;7 29 18 28 5 19 14 26 1 3 22 2 27 24 16 30 25 20 8 13 23 15 17 10 12 6 9 11 4 21 ;2.02833e+06;42
SL-UT-C CR-OX PR-50;1;19 27 13 26 10 17 23 6 11 15 16 12 21 20 1 2 3 4 18 29 9 7 5 28 8 22 14 24 30 25 ;2.14363e+06;26 20 8 2 5 6 1 10 14 30 7 27 28 11 3 22 9 15 12 21 24 19 29 17 23 4 13 18 25 16 ;2.0483e+06;19
SL-UT-C CR-OX PR-50;2;8 1 6 4 9 14 28 16 23 17 20 30 29 21 19 13 12 2 24 15 26 5 10 11 27 7 3 25 22 18 ;2.13718e+06;19 13 10 24 22 27 29 6 20 21 2 15 8 3 28 14 9 1 11 26 7 5 18 12 4 16 23 17 30 25 ;2.06015e+06;29
SL-UT-C CR-OX PR-50;3;25 3 11 4 7 9 23 5 10 26 16 2 28 19 27 21 30 15 8 12 17 22 20 18 13 29 1 6 24 14 ;2.09896e+06;16 4 19 12 9 7 22 2 6 13 14 15 11 28 1 23 30 21 17 8 18 5 10 20 26 29 25 24 3 27 ;2.06803e+06;51
SL-UT-C CR-OX PR-50;4;12 7 15 10 24 9 11 26 2 28 3 1 20 27 13 8 16 23 5 19 30 21 25 18 29 6 14 22 17 4 ;2.13746e+06;6 2 25 7 16 14 29 3 28 26 23 18 21 17 1 11 15 9 8 20 12 30 24 4 10 27 22 19 13 5 ;1.99215e+06;28
SL-UT-C CR-OX PR-50;5;27 16 28 23 10 12 29 19 6 2 15 17 5 14 8 1 26 3 4 21 11 7 22 30 25 9 24 13 20 18 ;2.09818e+06;19 8 23 25 10 13 16 27 6 26 12 5 17 30 4 11 18 20 2 22 3 14 7 9 28 15 29 24 1 21 ;2.06062e+06;20
SL-UT-C CR-PMX PR-16;1;20 27 6 29 8 22 4 30 12 17 5 23 7 3 21 24 15 10 16 19 13 18 1 2 25 9 14 28 26 11 ;2.13119e+06;29 11 21 19 26 16 20 27 13 7 28 9 30 2 18 8 5 3 25 24 4 6 1 10 15 14 22 17 23 12 ;1.97985e+06;43
SL-UT-C CR-PMX PR-16;2;1 22 16 5 26 29 15 20 9 10 21 3 27 25 28 6 8 19 4 30 17 14 11 7 23 12 24 2 18 13 ;2.13522e+06;21 22 24 30 26 2 19 28 16 18 15 3 17 11 29 25 1 8 5 6 13 23 12 10 27 20 7 9 4 14 ;1.99344e+06;68
SL-UT-C CR-PMX PR-16;3;17 2 19 25 4 24 16 11 22 5 14 13 8 3 27 23 21 29 9 10 6 18 26 12 1 15 30 28 7 20 ;2.12333e+06;7 18 28 22 19 25 24 16 20 4 23 29 26 12 17 6 1 15 9 27 5 14 3 8 13 21 11 2 30 10 ;2.00364e+06;55
SL-UT-C CR-PMX PR-16;4;24 16 8 30 25 3 21 5 11 12 28 15 13 18 27 4 9 26 6 2 23 7 14 10 29 22 20 1 19 17 ;2.11578e+06;8 13 28 2 25 30 26 5 21 3 11 14 12 15 22 23 16 10 19 18 27 7 29 24 4 20 1 6 17 9 ;2.01676e+06;53
SL-UT-C CR-PMX PR-16;5;12 7 28 17 4 24 23 27 5 10 29 9 26 30 1 2 18 20 19 13 3 22 15 16 8 25 14 21 6 11 ;2.1223e+06;12 26 19 17 8 16 18 3 22 28 7 6 9 1 23 29 4 25 11 2 27 20 10 15 14 21 30 24 5 13 ;2.01439e+06;59
SL-UT-C CR-PMX PR-25;1;16 23 15 27 18 20 25 26 2 12 9 3 13 14 24 10 5 17 1 30 7 19 6 8 21 11 22 28 4 29 ;2.11463e+06;3 10 30 4 5 25 1 2 29 11 21 18 14 16 27 13 8 7 17 20 6 23 12 28 15 9 19 24 26 22 ;2.00472e+06;39
SL-UT-C CR-PMX PR-25;2;24 11 16 1 3 2 26 29 22 5 14 7 28 20 30 17 9 15 10 21 8 19 18 13 23 25 12 6 27 4 ;2.12816e+06;2 23 26 25 19 28 29 9 7 6 15 8 30 18 11 17 1 14 10 3 20 16 21 24 27 5 22 12 4 13 ;2.01759e+06;39
SL-UT-C CR-PMX PR-25;3;14 27 17 24 22 7 5 21 4 11 1 25 16 12 3 6 9 13 8 10 23 15 30 28 18 2 29 19 20 26 ;2.09735e+06;12 16 5 8 25 14 30 27 23 29 24 6 20 13 17 19 10 18 15 9 11 26 28 1 3 21 4 22 7 2 ;1.9974e+06;39
SL-UT-C CR-PMX PR-25;4;18 19 22 16 9 2 25 24 5 13 30 3 15 20 8 6 29 1 27 26 14 23 10 11 4 17 28 7 12 21 ;2.12599e+06;21 13 14 25 26 4 30 8 19 22 16 10 12 28 17 29 11 23 18 6 20 24 27 2 1 15 9 3 5 7 ;2.03341e+06;34
SL-UT-C CR-PMX PR-25;5;7 28 22 19 18 6 23 8 2 4 17 27 15 16 20 25 10 26 14 29 9 30 1 12 13 21 24 11 5 3 ;2.12971e+06;11 6 19 24 4 3 23 28 2 22 5 21 15 16 20 25 10 26 9 30 7 29 1 18 13 27 12 8 14 17 ;2.00186e+06;29
SL-UT-C CR-PMX PR-50;1;22 8 6 17 16 14 29 24 2 28 11 7 26 3 23 30 10 1 18 21 19 25 12 9 4 15 5 13 27 20 ;2.14261e+06;8 3 30 18 22 21 24 28 27 6 11 23 14 16 15 4 7 13 1 20 2 12 26 17 10 25 5 29 9 19 ;2.00147e+06;31
SL-UT-C CR-PMX PR-50;2;13 7 15 17 20 18 12 3 9 23 1 26 16 14 10 29 25 6 30 28 8 5 21 19 2 24 22 4 11 27 ;2.13898e+06;16 18 26 21 17 15 30 9 22 5 19 28 3 14 10 29 7 6 1 27 11 24 4 12 23 2 13 20 25 8 ;2.01853e+06;21
SL-UT-C CR-PMX PR-50;3;28 17 30 3 4 16 18 9 25 8 11 13 29 2 22 15 26 10 24 5 7 6 20 21 1 19 12 23 14 27 ;2.11996e+06;7 6 30 3 4 22 23 9 18 8 2 13 17 11 16 29 20 10 28 24 14 12 26 15 27 21 19 1 25 5 ;1.9786e+06;33
SL-UT-C CR-PMX PR-50;4;19 20 25 1 4 7 28 26 8 18 24 12 30 2 15 14 6 17 10 29 23 9 5 22 11 21 16 13 3 27 ;2.08545e+06;19 9 2 1 7 27 28 26 8 18 24 12 30 13 15 14 6 17 10 29 4 20 3 23 11 21 16 22 25 5 ;2.00293e+06;21
SL-UT-C CR-PMX PR-50;5;12 26 5 2 24 29 19 23 11 7 4 10 9 3 30 14 1 16 15 28 6 13 21 25 27 17 22 20 18 8 ;2.11897e+06;22 3 7 10 13 28 4 27 30 11 19 16 5 20 2 25 21 29 17 8 18 15 1 26 12 23 6 14 9 24 ;2.00656e+06;27
SL-R CR-OX PR-16;1;23 11 28 26 30 6 2 8 5 17 10 16 21 24 7 19 18 13 20 15 3 22 9 27 12 1 4 25 29 14 ;2.11992e+06;4 3 26 5 6 18 2 22 21 16 17 20 28 8 25 10 27 30 29 13 11 7 1 24 19 9 14 15 23 12 ;2.0969e+06;121
SL-R CR-OX PR-16;2;27 2 4 28 5 1 23 26 19 7 10 11 12 9 13 24 25 29 30 18 22 15 21 16 20 17 14 3 8 6 ;2.10699e+06;9 24 12 17 5 29 6 28 3 21 18 11 16 7 1 2 25 23 22 10 19 14 20 13 27 15 4 26 8 30 ;2.0823e+06;147
SL-R CR-OX PR-16;3;10 18 3 16 4 21 20 23 28 13 29 12 8 17 22 5 24 7 19 6 14 9 27 30 11 2 15 1 25 26 ;2.10336e+06;10 17 23 14 11 2 13 26 19 3 12 22 20 28 15 8 7 30 21 6 27 9 16 29 24 4 1 18 5 25 ;2.04762e+06;180
SL-R CR-OX PR-16;4;26 18 5 20 27 7 30 10 1 6 29 14 25 13 9 11 17 12 23 22 3 28 2 4 24 16 8 21 19 15 ;2.11503e+06;26 9 30 12 22 29 4 21 15 11 20 2 16 28 17 27 23 1 3 7 19 5 25 10 24 18 6 13 14 8 ;2.08866e+06;103
SL-R CR-OX PR-16;5;28 22 5 7 12 4 17 30 11 18 3 10 23 20 25 8 13 29 2 21 15 1 16 27 14 9 24 19 6 26 ;2.09334e+06;7 5 28 14 16 1 4 10 18 3 24 15 21 27 2 13 29 8 11 22 9 12 23 17 20 30 6 26 25 19 ;2.07831e+06;299
SL-R CR-OX PR-25;1;3 28 16 22 5 1 9 21 6 10 26 19 11 30 2 23 13 8 20 27 4 29 7 17 24 18 12 25 15 14 ;2.12932e+06;17 6 29 23 28 2 14 15 4 5 11 25 27 20 24 19 21 1 7 13 8 26 30 16 9 3 10 18 22 12 ;2.09193e+06;317
SL-R CR-OX PR-25;2;10 18 30 12 25 22 14 1 28 6 3 2 7 21 23 17 26 4 11 27 20 5 29 15 24 19 9 16 13 8 ;2.10684e+06;6 9 15 4 7 8 14 1 10 5 26 22 19 3 27 28 23 13 16 21 25 11 2 30 12 24 29 20 17 18 ;2.08482e+06;215
SL-R CR-OX PR-25;3;30 4 10 18 23 29 25 14 16 6 20 21 2 8 13 9 27 1 12 19 22 17 5 24 15 11 26 28 3 7 ;2.13143e+06;1 27 19 28 29 21 9 13 22 16 25 18 5 23 3 12 24 26 15 7 8 11 30 4 20 6 10 2 14 17 ;2.10121e+06;144
SL-R CR-OX PR-25;4;9 29 28 5 14 7 18 8 4 2 6 19 21 24 26 3 12 27 30 15 13 17 25 22 11 20 1 10 23 16 ;2.11822e+06;30 6 19 21 24 26 3 27 13 28 15 9 11 2 14 4 29 20 7 25 18 1 22 5 8 12 10 17 23 16 ;2.07922e+06;115
SL-R CR-OX PR-25;5;6 24 14 25 8 20 17 12 23 3 13 5 1 19 15 7 22 11 2 21 27 26 4 10 9 29 30 28 18 16 ;2.14394e+06;6 16 24 5 8 3 10 26 4 13 22 25 12 20 27 30 1 11 9 21 15 29 18 17 23 7 2 19 28 14 ;2.08771e+06;205
SL-R CR-OX PR-50;1;29 27 23 17 15 25 11 13 18 19 14 4 8 20 6 9 28 1 30 5 7 12 26 3 24 22 10 2 16 21 ;2.12683e+06;16 1 15 29 5 19 11 21 12 20 23 10 14 18 3 8 27 4 13 6 30 7 2 9 28 17 24 26 25 22 ;2.07958e+06;167
SL-R CR-OX PR-50;2;23 8 25 28 5 12 9 19 20 18 27 4 6 15 13 29 10 24 7 30 17 3 21 11 26 16 22 1 14 2 ;2.12497e+06;29 10 16 15 9 22 12 14 30 28 8 3 2 26 7 24 11 23 17 5 1 6 20 25 27 18 21 13 19 4 ;2.08711e+06;166
SL-R CR-OX PR-50;3;18 27 4 30 9 3 10 5 8 15 6 25 29 24 21 17 12 19 20 28 11 7 1 22 13 16 23 26 2 14 ;2.10243e+06;14 8 26 16 15 4 6 7 22 9 2 30 10 24 27 21 18 29 20 5 28 11 1 17 25 3 23 19 12 13 ;2.07964e+06;158
SL-R CR-OX PR-50;4;2 9 21 5 25 11 3 1 24 16 13 19 12 27 23 18 26 6 28 10 29 7 14 30 20 8 15 17 22 4 ;2.13263e+06;8 25 30 29 18 7 24 11 21 28 14 20 3 2 10 5 12 22 1 19 17 23 13 4 6 26 16 27 15 9 ;2.09356e+06;114
SL-R CR-OX PR-50;5;11 16 29 28 17 12 14 22 6 30 10 8 27 9 15 25 1 19 18 13 7 23 5 20 2 26 4 3 24 21 ;2.114e+06;3 10 11 23 21 19 1 26 20 6 17 2 30 24 7 13 16 9 14 28 29 27 15 12 22 5 8 25 4 18 ;2.07545e+06;173
SL-R CR-PMX PR-16;1;15 26 9 27 18 23 1 21 14 13 22 11 16 29 25 30 20 19 12 17 10 4 24 28 2 6 5 3 8 7 ;2.11803e+06;26 29 1 3 5 27 21 9 4 14 13 2 22 8 19 30 16 23 18 11 7 12 17 20 6 10 28 25 24 15 ;2.08535e+06;250
SL-R CR-PMX PR-16;2;10 16 3 27 26 6 11 13 19 22 30 2 21 12 14 23 5 17 15 24 9 4 20 18 7 8 28 1 25 29 ;2.12814e+06;14 18 21 8 9 29 4 27 2 7 10 22 6 16 13 1 26 3 19 17 12 25 24 30 20 5 11 15 23 28 ;2.08385e+06;134
SL-R CR-PMX PR-16;3;2 5 11 9 22 21 26 20 3 10 1 7 27 15 23 6 16 18 8 25 4 19 17 30 12 29 24 13 28 14 ;2.13005e+06;19 5 8 18 30 11 20 10 3 4 29 14 27 26 24 16 15 22 23 17 9 1 2 7 25 28 13 12 6 21 ;2.09591e+06;172
SL-R CR-PMX PR-16;4;28 7 20 25 5 2 1 21 29 14 26 13 17 3 6 11 30 24 19 16 4 12 27 10 15 23 22 8 18 9 ;2.1363e+06;1 26 24 14 21 25 10 16 15 27 13 20 30 28 22 11 6 3 8 7 23 4 2 9 17 5 12 29 19 18 ;2.07188e+06;123
SL-R CR-PMX PR-16;5;12 8 9 27 11 6 16 13 19 30 25 4 23 5 17 28 10 7 20 24 2 3 1 15 18 14 29 26 21 22 ;2.12473e+06;18 22 21 30 4 11 10 6 5 13 26 24 28 16 23 1 19 15 27 20 9 25 8 12 29 2 7 3 14 17 ;2.0881e+06;131
SL-R CR-PMX PR-25;1;14 17 11 5 23 6 7 24 1 22 27 25 26 30 9 15 16 8 3 19 2 21 20 18 10 12 28 13 4 29 ;2.12372e+06;12 23 9 30 14 13 20 11 1 19 24 18 26 27 21 29 16 2 3 25 15 28 22 4 7 10 17 6 5 8 ;2.10922e+06;215
SL-R CR-PMX PR-25;2;23 15 16 24 26 27 1 4 7 18 21 13 12 28 6 19 30 29 22 25 10 8 20 9 3 11 2 17 14 5 ;2.11568e+06;1 3 30 26 28 7 25 23 27 19 12 9 18 13 21 15 6 24 22 16 2 14 8 29 20 5 4 11 17 10 ;2.06535e+06;128
SL-R CR-PMX PR-25;3;18 6 30 1 15 3 14 16 20 9 21 19 25 17 7 29 12 2 27 23 26 28 4 11 10 13 8 5 24 22 ;2.132e+06;3 28 14 19 5 4 23 26 30 7 12 1 24 22 27 20 2 18 13 15 16 21 17 11 10 29 9 8 25 6 ;2.09357e+06;110
SL-R CR-PMX PR-25;4;8 6 24 19 22 30 26 21 5 14 3 25 2 28 10 7 16 17 23 13 1 15 11 12 27 9 20 29 18 4 ;2.11418e+06;20 24 23 29 8 9 27 21 13 7 19 18 3 1 25 11 4 17 22 12 15 2 28 10 16 14 26 6 5 30 ;2.086e+06;133
SL-R CR-PMX PR-25;5;13 7 5 6 18 9 22 23 4 24 15 28 14 2 12 16 8 1 27 30 19 29 10 17 25 21 26 20 3 11 ;2.12733e+06;1 3 30 16 21 25 26 29 23 13 20 15 27 19 4 8 7 18 10 6 24 14 11 28 12 9 22 5 2 17 ;2.09234e+06;115
SL-R CR-PMX PR-50;1;11 19 21 6 17 8 23 16 15 26 3 25 4 5 13 7 24 20 18 27 14 10 1 28 2 30 12 9 22 29 ;2.10903e+06;2 18 9 23 10 14 3 6 25 24 28 16 27 7 29 19 12 13 30 15 1 4 11 8 20 26 21 22 5 17 ;2.08951e+06;103
SL-R CR-PMX PR-50;2;21 8 14 4 25 19 9 24 29 17 18 2 30 6 13 20 23 12 15 26 27 10 11 16 1 3 7 5 28 22 ;2.12472e+06;12 10 18 23 22 25 6 17 30 2 4 26 3 5 20 21 11 7 16 29 14 24 19 8 1 28 27 15 9 13 ;2.05371e+06;211
SL-R CR-PMX PR-50;3;9 6 28 18 23 4 25 15 26 8 30 11 1 27 14 13 17 2 24 7 19 12 16 22 21 3 10 20 5 29 ;2.13538e+06;23 3 24 16 5 26 20 10 4 15 21 29 9 12 27 8 2 19 7 18 17 30 14 1 28 6 25 13 11 22 ;2.06304e+06;172
SL-R CR-PMX PR-50;4;27 26 28 2 13 14 5 22 23 25 20 30 1 4 18 29 3 10 7 6 11 16 8 12 21 24 9 15 17 19 ;2.13488e+06;26 9 15 11 23 8 6 27 18 22 21 5 19 29 25 7 20 24 17 3 28 12 2 4 10 13 14 1 30 16 ;2.08985e+06;141
SL-R CR-PMX PR-50;5;29 22 23 6 9 7 5 19 11 24 12 25 16 20 4 15 14 17 13 30 21 10 3 1 2 18 26 8 28 27 ;2.11087e+06;19 22 6 28 4 21 11 16 12 24 18 30 26 20 5 9 8 3 29 14 17 23 25 27 1 15 7 13 10 2 ;2.0794e+06;121
